,wind_deg,wind_speed,humidity,pressure,temp_max,temp_min,feels_like,dew_point,temp,weather_description
3159,200,5.1,64,1011,25.6,23.38,24.52,17.12,24.36,1
3160,280,5.1,50,1013,25.0,23.44,23.5,12.73,23.76,1
3161,280,5.1,44,1017,23.9,21.75,21.81,9.53,22.37,1
3162,130,3.6,73,1021,21.55,20.89,21.15,16.06,21.08,1
3163,250,3.1,44,1019,25.0,22.13,22.22,9.87,22.74,1
3164,280,2.6,48,1016,27.8,23.58,24.71,13.16,24.91,1
3165,270,5.1,45,1013,28.9,26.34,27.26,14.21,27.16,1
3166,130,3.1,78,1017,22.51,20.84,21.79,17.54,21.54,1
3167,190,5.1,64,1011,27.2,24.27,25.74,18.16,25.47,1
3168,70,3.6,81,1012,25.07,22.8,24.43,20.41,23.87,1
3169,70,2.1,86,1024,18.04,17.2,17.74,15.3,17.67,1
3170,140,4.1,67,1024,19.48,18.83,18.83,12.84,19.11,1
3171,190,5.7,61,1020,24.04,22.23,23.08,15.19,23.12,1
3172,200,5.7,54,1014,28.41,26.81,28.41,17.52,27.66,1
3173,20,2.1,81,1014,28.67,23.3,26.0,22.49,26.0,1
3174,190,7.7,76,1009,27.85,25.6,26.64,22.06,26.64,1
3175,30,3.6,90,1011,18.6,18.07,18.66,16.74,18.41,2
3176,150,2.1,83,1009,19.33,18.44,19.09,16.02,18.97,1
3177,110,5.1,84,1010,19.71,18.3,19.06,16.16,18.92,1
3178,80,4.6,96,1007,18.58,17.74,18.56,17.53,18.18,2
3179,280,6.7,61,1017,19.4,18.39,18.2,11.02,18.68,1
3180,270,5.1,50,1023,25.0,22.36,22.44,11.84,22.8,1
3181,180,3.6,73,1023,22.8,21.82,22.49,17.23,22.3,1
3182,210,4.1,62,1017,25.6,22.89,23.52,15.81,23.5,1
3183,200,6.2,53,1016,23.9,22.46,22.86,13.02,23.11,1
3184,200,5.7,66,1012,22.5,21.63,22.1,15.47,22.11,1
3185,350,4.6,48,1019,18.9,17.04,16.89,6.66,17.8,1
3186,20,3.6,55,1026,16.1,13.38,13.28,5.44,14.35,1
3187,40,3.1,80,1026,16.1,15.07,15.21,12.08,15.51,1
3188,0,0.0,58,1024,17.2,14.02,13.75,6.54,14.71,1
3189,100,2.1,70,1028,17.2,15.99,15.79,10.81,16.28,1
